义乌市天诚装饰工程有限公司 ,北苑丹溪二区78栋,18958490086,85520086,
浙江太阳风装饰工程有限公司义乌分公司 ,义乌市雪峰西路772-776号,15924242453,85369488,
义乌市福禄寿装饰工程有限公司 ,江东路与丹溪路交叉路(下傅10栋),13989424030,89353195,
广东华浔品味装饰集团义乌公司 ,江东南路215-219号,13738980786,85781087,
广东星艺装饰集团浙江金华义乌分公司 ,义乌市江东中路497号,15857935698,85376285,
尚庭装饰            ,义乌市江东南路铜材大厦C座,4008-659-600,,
铭鼎装饰            ,义乌市后宅街道100,4008-659-600,,
义乌风尚装饰            ,义乌市廿三里街道商城大道,4008-659-600,,
义乌铭道装饰            ,义乌市东河乡城西街道,4008-659-600,,
义乌柏雅装饰            ,义乌市西城北路210号,4008-659-600,,
义乌九鼎装饰有限公司            ,义乌市 稠江街道1002号,4008-659-600,,
义乌百盛装饰有限公司            ,1,4008-659-600,,
义乌比邦装饰有限公司            ,义乌市城西街道义乌家具市场附近,4008-659-600,,
浙江聚创装饰设计有限公司            ,义乌市黄杨梅一街36号2-3楼,4008-659-600,,
义乌澳华装饰工程有限公司            ,义乌市丹溪北路460号(丹溪一区大门口),4008-659-600,,
义乌风尚装饰工程有限公司            ,江东中路408号,4008-659-600,,
广东九木堂装饰设计有限公司义乌分公司            ,义乌市经发大道216号，云天文化创业园,4008-659-600,,
超凡装饰有限公司            ,义乌市黎明小区220号,4008-659-600,,
胜天装饰            ,义乌市上溪镇四通东路122号,4008-659-600,,
美好家园装潢公司            ,浙江省金华市义乌市,4008-659-600,,
馨美装饰装修            ,义乌市稠州街道,4008-659-600,,
义乌新亚展览服务有限公司            ,义乌东洲花园迎风苑,4008-659-600,,
义乌熙隆装饰工程有限公司            ,春晗南路201号 新田网商4楼,4008-659-600,,
饶创皮雕软包厂            ,稠江街道轮回新村,4008-659-600,,
欧雅特设计工程有限公司            ,浙江 义乌 义乌市 义乌市黄杨梅一街36号...,4008-659-600,,
义乌欧凯装饰设计有限公司            ,宾王路506号城市风景A座201,4008-659-600,,
义乌杰艺装饰有限公司            ,江东中路565号,4008-659-600,,
东易日盛家居装饰集团股份有限公司义乌分公司            ,义乌市城中北路107号,4008-659-600,,
义乌广东涵宇有限公司            ,义乌市江东南路277号,4008-659-600,,
义乌磊誉装饰工程有限公司            ,义乌市贝村路1018号3F,4008-659-600,,
义乌熙隆装饰工程有限公司            ,春晗南路201号 新田网商4楼,4008-659-600,,
饶创皮雕软包厂            ,稠江街道轮回新村,4008-659-600,,
北京亮点视觉装饰设计有限公司（义乌分公司）            ,,4008-659-600,,
义乌市辰岚装饰工程有限公司            ,,4008-659-600,,
浙江国冠装饰工程有限公司            ,义乌江东中路358号,4008-659-600,,
义乌方泰装饰设计有限公司            ,义乌市学院路2号创意园3B304-306室,4008-659-600,,
良工装饰(义乌分部)            ,,4008-659-600,,
义乌金马装饰工程有限公司            ,,4008-659-600,,
义乌市辰岚装饰工程有限公司            ,,4008-659-600,,
浙江国冠装饰工程有限公司            ,义乌江东中路358号,4008-659-600,,
义乌方泰装饰设计有限公司            ,义乌市学院路2号创意园3B304-306室,4008-659-600,,
良工装饰(义乌分部)            ,,4008-659-600,,
义乌金马装饰工程有限公司            ,,4008-659-600,,
浙江美巢装饰设计有限公司            ,楼下村三区22幢5单元3-4楼,4008-659-600,,
艺家装饰            ,义乌市江东街道塔下村18幢,4008-659-600,,
义乌市锦泽装饰工程有限公司            ,,4008-659-600,,
浙江唐正装饰工程有限公司            ,雪峰西路 315 号 一至三楼,4008-659-600,,
浙江贝德装饰工程有限公司            ,义乌市江东中路87号2F,4008-659-600,,
义乌市百年装饰有限公司            ,下傅老村13栋3楼 丹溪大桥江东方向100...,4008-659-600,,
义乌鑫鼎装饰工程有限公司             ,义乌江东中路600号,4008-659-600,,
