金尚装饰 ,鄞州区传奇广场5楼,13248570755,400-009-2990,
宁波星众装饰设计工程有限公司 ,宁波市北仑区岷山路932号二楼  星众装饰...,13957810052,7810052,
宁波亚旭建筑装饰工程有限公司 ,浙江省宁波市北仑区新碶太河南路345号,13082999229,86825786,
浙江东潮装饰设计工程有限公司 ,宁波北仑新碶街道长江路288号,13607064451,56786560,
宁波市北仑归巢装饰工程有限公司  ,,13567428913,,
宁波北仑鼎天装饰有限公司 ,北仑黄山路71号,18158569209,86837770,
宁波市北仑区文鼎装饰工程有限公司 ,北仑区庐山东路135--137,18006648359,86123342,
阡陌装饰工程有限公司            ,总部:中山东路1906号嘉恒广场三楼; 分...,4008-659-600,,
佳运装饰股份有限公司            ,宁波鄞州区慧和大厦28楼 （2805-28...,4008-659-600,,
仁和装饰设计工程有限公司            ,宁波市江东区百丈东路787号包商大厦a室6...,4008-659-600,,
宏城装饰艺术有限公司            ,宁波市鄞州区启明新路818号创新128广场...,4008-659-600,,
吉美装饰工程有限公司            ,钱湖北路101号4f,4008-659-600,,
金博建筑装饰工程有限公司            ,永达东路18号现代设计大楼,4008-659-600,,
浩颜装饰设计有限公司            ,宁波市镇海区中官西路279号天华4s店科技...,4008-659-600,,
慈溪天臣装饰设计工程有限公司            ,慈溪嘉里商务大厦1号楼16-12室,4008-659-600,,
美之家装饰设计有限公司            ,宁波海曙区大沙泥街中央商座3-373,4008-659-600,,
华创装饰工程有限公司            ,鄞州钱湖北路77号东湖大厦A座507-50...,4008-659-600,,
北仑华墅装饰工程有限公司            ,宁波市北仑区小港小浃江中路145号,4008-659-600,,
同盛装饰设计有限公司            ,宁波百丈东路96号东城百汇7--9室,4008-659-600,,
银之亿装饰设计有限公司            ,宁波市镇海庄市兆龙路205号卧龙花园25棟...,4008-659-600,,
元和装饰工程有限公司            ,中山东路455号,4008-659-600,,
南鸿装饰有限公司            ,鄞州钱湖北路55号东湖花园西门四明中路10...,4008-659-600,,
天元十杰装饰            ,解放南路202号建筑大厦,4008-659-600,,
上海聚通装潢建筑工程有限公司公司            ,宁波市江东区中山东路949-953号,4008-659-600,,
慈溪市艺搏装饰有限公司            ,观海卫镇盘川路2号（国道旁）,4008-659-600,,
高泰嘉装饰工程有限公司            ,宁波市通途西路688号,4008-659-600,,
市北仑区晶鼎装饰工程有限公司            ,宁波市北仑区晶鼎装饰设计有限公司,4008-659-600,,
江东鼎润装饰有限公司            ,宁波是鄞州区钱湖北路101钱湖大厦B座80...,4008-659-600,,
揽胜装饰设计工程有限公司            ,,4008-659-600,,
宁波北仑三合世纪装饰工程有限公司            ,,4008-659-600,,
为你工地            ,,4008-659-600,,
宁波安鼎装饰工程有限公司            ,明州路500号太平洋国际大厦2010-20...,4008-659-600,,
宁波聚诚装饰工程有限公司            ,宁波市北仑区黄山西路107号港城家居5#1...,4008-659-600,,
宁波揽胜装饰设计工程有限公司            ,宁波市北仑区新碶街道长江国际大厦A幢168...,4008-659-600,,
宁波市北仑区晶鼎装饰工程有限公司            ,宁波市北仑区晶鼎装饰设计有限公司,4008-659-600,,
江东鼎富装饰工程有限公司            ,江南路598号,4008-659-600,,
品蓝建筑装饰工程有限公司            ,中山东路369号,4008-659-600,,
城建装饰工程有限公司            ,宁波百丈路815号华侨城碧华阁7A(百丈东...,4008-659-600,,
正盛建筑装饰工程有限公司            ,宁波市江东区东方商务中心4号1F11-12,4008-659-600,,
晶艺启宏装饰工程有限公司            ,宁波市丽园北路银润豪景4-2，天胜花鸟市场...,4008-659-600,,
恒玖装饰工程有限公司            ,宁波鄞州长寿南路555号堇山大厦10楼 北...,4008-659-600,,
市德宝装饰工程有限公司            ,宁波市北仑区小港街道渡口南路35号,4008-659-600,,
