上海美平建筑装饰工程有限公司 ,,13818239855,,
美丽家国际设计            ,上海市浦东新区东方路1361号11楼C座,4008-659-600,,
金鑫国际显尚装饰工程设计有限公司            ,东兰路248号1号楼3楼A-B座（靠近古美...,4008-659-600,,
织梦装饰设计工程有限公司            ,浦东新区杨高南路1685弄永旭时尚商务广场...,4008-659-600,,
光信建筑装饰工程有限公司            ,浦东新区沪南路3665号慧利大厦9楼,4008-659-600,,
惟飒装饰装修工程有限公司            ,上海市闵行区泰虹路168号1号楼707室（...,4008-659-600,,
九创装饰工程有限公司            ,浦东新区浦东大道2123号龙珠广场4F,4008-659-600,,
洋靓建筑装潢有限公司            ,浦东新区康沈路1712号401室,4008-659-600,,
焱歌建筑装饰工程有限公司            ,上海市闵行区莘建东路399号,4008-659-600,,
深博建筑装饰设计工程有限公司            ,上海浦东新区年家浜路526号万达广场C座1...,4008-659-600,,
千惠建筑装饰工程有限公司            ,浦东新区东方路1361号3号楼11楼(海富...,4008-659-600,,
春亭装饰设计工程有限公司            ,零陵路899号28楼G座,4008-659-600,,
荣欣家庭装潢有限公司            ,:长宁区杨宅路,4008-659-600,,
典杰建筑装饰工程有限公司            ,上海市闵行区七莘路498号(七莘路和莘北路...,4008-659-600,,
卓显装饰设计工程有限公司            ,上海市静安区江场西路160号美邦大楼708...,4008-659-600,,
汉喆（）装饰工程有限公司            ,上海市徐汇区软州北路939弄2号702室,4008-659-600,,
家倍得装饰工程有限公司            ,上海普陀区真北路新长征大厦13楼（近梅川路...,4008-659-600,,
尔扬装饰设计有限公司             ,上海市杨浦区营口路588号2号楼11K,4008-659-600,,
市九鼎装饰设计工程有限公司            ,浦东新区浦东大道814号（沪东大楼）2楼,4008-659-600,,
龙香建筑装潢设计有限公司            ,闸北区江场西路160号608-612,4008-659-600,,
兰鸣建筑装饰设计有限公司            ,上海徐汇宜山路436号3楼壹鸣装饰,4008-659-600,,
尚海建筑装饰工程有限公司            ,上海市静安区共和新路4666弄11号2楼（...,4008-659-600,,
深圳柠檬树装饰设计工程有限公司分公司            ,上海市普陀区铜川路70号新城市中心广场5楼,4008-659-600,,
启珑建筑装饰设计有限公司            ,上海市虹口区物华路73号渡边物华园710室,4008-659-600,,
润泰装饰工程有限公司            ,上海市浦东新区东方路1381号蓝村大厦14...,4008-659-600,,
泥巴公社装饰设计工程有限公司            ,闵行区漕宝路1243号永乐电器一二楼/徐汇...,4008-659-600,,
上海诺赢装饰设计有限公司            ,,4008-659-600,,
上海匠巢空间设计            ,上海松江区九峰路88弄平高广场1505室,4008-659-600,,
上海增添装饰设计有限公司            ,上海松江区谷阳北路2399弄9-501,4008-659-600,,
龙香建筑装潢设计有限公司             ,闸北中心：江场西路160美邦大厦6楼608...,4008-659-600,,
大珏建筑工程设计有限公司            ,上海市徐汇区田林路142号怡虹科技园10楼...,4008-659-600,,
同济嘉墅建筑装饰工程有限公司            ,上海市共和新路3088号3号801室,4008-659-600,,
钰鸿装饰设计有限公司            ,上海市青浦区中南路48号15-3室,4008-659-600,,
