长治市朝博装饰工程有限公司 ,长治市城区龙盛装饰城3楼E区4号,13835543718,2020101,
长治众创大宅装饰 ,长治市站前路171号众创大厦4,5,6,7...,13008065454,5895588,
北京艺品鼎盛装饰设计有限公司长治分公司 ,长治高新区北二环金都苑底商东5号(庞家庄教...,18636562881,400-865-9600,
长治市信宅装饰工程有限公司 ,长治城区长子门东南区83号,13111001066,8526222,
长治市名创美家装饰工程有限公司 ,长治市捉马西大街日新家园6-7号商铺,17603455200,2160160,
长治市瀚唐装饰有限公司            ,长治市五一路恒超装饰城C区111号,4008-659-600,,
长治元洲装饰有限责任公司            ,长治市城东路中信银行南侧元洲装饰,4008-659-600,,
城市人家装饰有限公司            ,延安中路永盛苑大厦2.3.4号商铺（九州宾...,4008-659-600,,
长治飛凡装饰有限公司            ,山西长治黎城县,4008-659-600,,
长治市和邦装饰工程有限公司            ,山西 长治市 ,4008-659-600,,
山西天成美居装饰有限公司            ,山西省长治市天晚集南路浅水湾楼下1号商铺 ...,4008-659-600,,
