九城湖滨,本月均价：45833元/平米,所在板块：松江 九亭,总户数：2760户,绿化率：47%（绿化率高）,停车位：1800,物业类型：公寓,竣工时间：2007年,九城湖滨  [松江-九亭- 沪亭北路618弄],
盛世年华,本月均价：110439元/平米,所在板块：浦东 源深,总户数：1550户,绿化率：45%（绿化率高）,停车位：600,物业类型：公寓,竣工时间：2005年,盛世年华  [浦东-源深- 羽山路100弄],
赵家桥小区,本月均价：84286元/平米,所在板块：静安 静安寺,总户数：暂无数据,绿化率：0%（绿化率适中）,停车位：100,物业类型：公寓,竣工时间：1991年,赵家桥小区  [静安-静安寺- 北京西路1585号],
凌兆新村,本月均价：49272元/平米,所在板块：浦东 三林,总户数：30000户,绿化率：30%（绿化率高）,停车位：568,物业类型：公寓,竣工时间：1995年,凌兆新村  [浦东-三林- 上浦路36弄],
锦绣河山,本月均价：53371元/平米,所在板块：浦东 金杨,总户数：768户,绿化率：30%（绿化率高）,停车位：400,物业类型：公寓,竣工时间：1997年,锦绣河山  [浦东-金杨- 博山东路20弄1-7号(单)],
中冶锦城,本月均价：39808元/平米,所在板块：闵行 春申,总户数：3000户,绿化率：30%（绿化率高）,停车位：350,物业类型：公寓,竣工时间：2012年,中冶锦城  [闵行-春申- 曙建路78弄],
中邦城市,本月均价：49162元/平米,所在板块：浦东 康桥,总户数：1472户,绿化率：35%（绿化率高）,停车位：554,物业类型：公寓,竣工时间：2014年,中邦城市  [浦东-康桥- 秀沿路867弄],
海欣家园,本月均价：19714元/平米,所在板块：金山 山阳,总户数：600户,绿化率：47%（绿化率高）,停车位：地上停车位,物业类型：公寓,竣工时间：2009年,海欣家园  [金山-山阳- 龙皓路398弄],
国和二村,本月均价：50612元/平米,所在板块：杨浦 中原,总户数：520户,绿化率：40%（绿化率高）,停车位：80,物业类型：公寓,竣工时间：1990年,国和二村  [杨浦-中原- 国和二村],
汇成宾阳苑,本月均价：73096元/平米,所在板块：徐汇 龙华,总户数：98户,绿化率：35%（绿化率高）,停车位：50,物业类型：公寓,竣工时间：2004年,汇成宾阳苑  [徐汇-龙华- 宾阳路9弄10-18号],
紫晶苑,本月均价：43098元/平米,所在板块：浦东 孙桥,总户数：890户,绿化率：40%（绿化率高）,停车位：126,物业类型：公寓,竣工时间：2008年,紫晶苑  [浦东-孙桥- 孙农路398弄1-89号],
中环锦园,本月均价：62348元/平米,所在板块：普陀 万里,总户数：1254户,绿化率：42%（绿化率高）,停车位：300,物业类型：公寓,竣工时间：2005年,中环锦园  [普陀-万里- 真华路388弄],
金地自在城(二期),本月均价：36694元/平米,所在板块：松江 泗泾,总户数：暂无数据,绿化率：35%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：2015年,金地自在城(二期)  [松江-泗泾- 泗通路155弄],
景和茗苑,本月均价：60525元/平米,所在板块：闵行 古美,总户数：1010户,绿化率：40%（绿化率高）,停车位：115,物业类型：公寓,竣工时间：2004年,景和茗苑  [闵行-古美- 龙茗路69弄],
星惠佳苑,本月均价：68646元/平米,所在板块：杨浦 东外滩,总户数：300户,绿化率：31%（绿化率高）,停车位：233,物业类型：公寓,竣工时间：2001年,星惠佳苑  [杨浦-东外滩- 江浦路666弄1-28号],
中环家园(一期),本月均价：63563元/平米,所在板块：普陀 万里,总户数：170户,绿化率：40%（绿化率高）,停车位：200,物业类型：公寓,竣工时间：2006年,中环家园(一期)  [普陀-万里- 新村路1388弄],
浦江华侨城(三期),本月均价：55922元/平米,所在板块：闵行 浦江镇,总户数：暂无数据,绿化率：35%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：2007年,浦江华侨城(三期)  [闵行-浦江镇- 江栀路350弄],
圣马丽诺桥语别墅,本月均价：68493元/平米,所在板块：浦东 唐镇,总户数：105户,绿化率：40%（绿化率高）,停车位：193,物业类型：别墅,竣工时间：2005年,圣马丽诺桥语别墅  [浦东-唐镇- 唐安路199弄],
永康城香樟苑,本月均价：26624元/平米,所在板块：闵行 浦江镇,总户数：暂无数据,绿化率：0%（绿化率适中）,停车位：暂无数据,物业类型：公寓,竣工时间：2014年,永康城香樟苑  [闵行-浦江镇- 盐铁塘路435弄],
翠谷小区,本月均价：13431元/平米,所在板块：松江 佘山,总户数：暂无数据,绿化率：40%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：1994年,翠谷小区  [松江-佘山- 桃源路362弄],
中环一号(一期),本月均价：54016元/平米,所在板块：宝山 大场,总户数：1040户,绿化率：35%（绿化率高）,停车位：地上:48　地下:475,物业类型：公寓,竣工时间：2008年,中环一号(一期)  [宝山-大场- 真北路4333弄],
嘉丰佳苑,本月均价：26935元/平米,所在板块：嘉定 嘉定老城,总户数：688户,绿化率：34%（绿化率高）,停车位：196,物业类型：公寓,竣工时间：2003年,嘉丰佳苑  [嘉定-嘉定老城- 沪宜公路3885弄],
